Categoría: Todas las categorías

Semana,Fe: (Luxemburgo)
2018-12-30,0
2019-01-06,75
2019-01-13,0
2019-01-20,0
2019-01-27,99
2019-02-03,0
2019-02-10,83
2019-02-17,0
2019-02-24,88
2019-03-03,77
2019-03-10,95
2019-03-17,0
2019-03-24,88
2019-03-31,0
2019-04-07,0
2019-04-14,0
2019-04-21,81
2019-04-28,0
2019-05-05,0
2019-05-12,0
2019-05-19,0
2019-05-26,82
2019-06-02,0
2019-06-09,0
2019-06-16,70
2019-06-23,0
2019-06-30,0
2019-07-07,72
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,94
2019-08-25,0
2019-09-01,0
2019-09-08,76
2019-09-15,76
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,84
2019-11-03,0
2019-11-10,86
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,87
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,64
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,100
2020-03-22,69
2020-03-29,70
2020-04-05,76
